title,artist,num_artists,artists_followers,artists_popularity,num_sections,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,fade_in,fade_out,time_signature,explicit,popularity,genre,date,liked
Smooth,Connor Price,1,766465,74,8,0.897,0.519,2,-7.913,1,0.0731,0.0167,0.000126,0.0389,0.641,108.016,137264,0.18571,129.68925,4,False,64,desconocido,2022-04-01,No
Alright (feat. KIDDO),Alle Farben,2,178692.5,65,7,0.593,0.804,0,-7.217,1,0.0707,0.0453,0,0.367,0.381,121.97,169000,0.06385,163.32336,4,False,68,deep euro house,2021-09-17,No
Allí,Café Quijano,1,392150,56,10,0.885,0.794,0,-6.094,0,0.0331,0.163,0.0126,0.195,0.754,119.999,189869,0.49147,182.35791,4,False,31,cantautor,2022-02-25,No
Plan A,Paulo Londra,1,21676467,77,10,0.583,0.834,0,-4.875,1,0.0444,0.0495,0,0.0658,0.557,173.935,178203,3.33787,176.10594,4,False,71,argentine hip hop,2022-03-23,No
Deep In Love - Radio Edit,Tom Boxer,3,15176.333333333334,37,14,0.734,0.794,1,-5.897,1,0.0414,0.0436,1.38e-06,0.214,0.368,128.085,208493,0.98671,204.61424,4,False,41,romanian house,2010-01-01,No
Another Lonely Night,Liam Cooper,1,616,16,11,0.603,0.652,1,-4.711,1,0.026,0.419,0,0.171,0.361,109.011,216034,0.08671,206.78531,4,False,0,desconocido,2021-07-02,No
Quanto 6 bella,Entics,1,80134,34,10,0.537,0.785,1,-4.371,0,0.148,0.0206,0,0.21,0.64,120.342,237720,0.06961,233.0703,3,False,44,desconocido,2011-09-20,No
Magic,ADEN x OLSON,1,693,20,11,0.785,0.629,2,-6.23,1,0.0325,0.0594,3.01e-05,0.69,0.327,106.961,171202,2.24653,165.52345,4,False,38,desconocido,2020-05-08,No
Si Tu Vuelas - Hadal Ahbek [Alok Remix],Issam Alnajjar,3,5604426.333333333,66.66666666666667,11,0.699,0.645,4,-5.16,1,0.0276,0.135,0,0.111,0.231,100.001,197550,0.0,193.65442,4,False,47,indonesian viral pop,2021-10-01,No
Love Drunk,BOYS LIKE GIRLS,1,1158491,60,12,0.44,0.976,10,-3.17,1,0.141,0.00177,3.39e-06,0.16,0.412,150.005,226707,3.58168,207.98694,4,False,65,neon pop punk,2009-09-07,No
"Take Yours, I'll Take Mine - Jury Chamber Mix",Matthew Mole,1,101652,47,12,0.564,0.496,3,-7.345,1,0.0371,0.373,0,0.0727,0.363,138.007,218999,0.19156,214.37823,4,False,38,south african pop,2014,No
Close Your Eyes,KSHMR,2,937364.5,66,9,0.51,0.898,11,-1.218,1,0.0772,0.0294,3.14e-05,0.255,0.483,179.969,168833,0.21492,159.83456,4,False,59,big room,2021-11-19,No
Birds,Coldplay,1,44924323,88,9,0.559,0.841,0,-5.584,1,0.0332,0.000315,0.437,0.0816,0.147,105.009,229093,2.14785,229.09334,4,False,66,permanent wave,2015-12-04,No
Ho Ho Ho,Sia,1,26390402,83,8,0.716,0.742,0,-5.103,1,0.0407,0.0338,0,0.105,0.879,129.014,205627,0.24503,192.76045,4,False,46,australian dance,2018-11-01,No
Le sapin,Charlie,1,845,23,8,0.772,0.762,0,-6.589,0,0.0451,0.267,0,0.17,0.705,103.998,191253,1.04485,185.00499,4,False,0,desconocido,2009,No
Unstoppable,James Blunt,1,2811764,71,8,0.568,0.744,2,-6.521,1,0.0289,0.0777,0,0.0644,0.512,97.043,207400,0.33088,197.44508,4,False,42,neo mellow,2021-11-19,No
I Came For Love,James Blunt,1,2811764,71,8,0.551,0.43,5,-6.128,0,0.0256,0.0933,0,0.435,0.208,87.07,182173,0.45261,170.55637,4,False,47,neo mellow,2021-11-19,No
Un Pobre Con Dinero,SFDK,1,640346,62,6,0.792,0.764,5,-7.19,1,0.254,0.104,0,0.0956,0.531,134.996,205111,3.08825,188.13968,4,False,55,rap politico,2019-12-13,No
Contágiame,Los De Marras,1,85200,46,11,0.66,0.801,1,-6.283,1,0.0712,0.17,1.94e-06,0.0797,0.677,116.98,251480,0.92875,243.32771,4,False,29,punk urbano,2021-04-16,No
Non è mai troppo tardi,Federico Rossi,1,64697,48,7,0.85,0.745,0,-4.244,1,0.0806,0.0246,0,0.138,0.694,127.017,162148,0.14435,157.05397,4,False,57,italian pop,2021-07-02,No
Ostia Lido,J-AX,1,2085853,59,6,0.893,0.838,9,-2.826,1,0.215,0.0838,0,0.117,0.645,108.944,173267,0.10413,167.57262,4,False,57,italian adult pop,2020-01-24,No
Deutschland,Rammstein,1,8271123,80,10,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,322340,0.06376,301.1686,4,False,79,german metal,2019-05-17,No
La Receta,Los Aslándticos,1,58054,43,9,0.691,0.901,7,-4.992,1,0.102,0.0389,0,0.0433,0.796,99.981,224467,0.21361,220.90884,4,False,48,flamenco fusion,2017-09-29,No
Overseas,Vlad Gluschenko,1,6905,25,6,0.663,0.781,6,-6.043,1,0.0326,0.276,0.0242,0.223,0.511,104.985,142786,0.18812,137.05579,4,False,18,desconocido,2019-07-20,No
